Phyla,AveCercozoa,AveChlorophyta,AveChromerida,AveCryptophyta,AveEuglenophyta,AveHaptophyta,AveMiozoa,AveOchrophyta,AvePelagophyta,AveRhodophyta,AveStreptophyta
vFam_5792,1.333333333,2.043478261,1,1,0.5,0.7777777778,0.09090909091,1.904761905,2,3.285714286,0
vFam_2640,0.6666666667,0.9275362319,0,3,0,0.4444444444,0,0.5476190476,0,3.285714286,0
vFam_6570,19,5.47826087,0,4.75,11.5,95.44444444,4.090909091,10.4047619,15,3.142857143,0
vFam_1600,22,4.884057971,0,0.75,11.5,82,2.909090909,15.45238095,12,3.142857143,0
vFam_254,7.666666667,2.594202899,0,11.75,0,3.555555556,1.909090909,5.547619048,6,3,0
vFam_5388,7.333333333,0.768115942,0,1.75,0,2.333333333,0.1818181818,3.666666667,4,3,0
vFam_613,10.33333333,3.043478261,0,9.5,1,61.55555556,2.545454545,33.14285714,48,2.857142857,0
vFam_1881,4.666666667,2.086956522,1,6.5,0,3.555555556,1.272727273,5.071428571,19,2.857142857,0
vFam_5317,1.333333333,1.710144928,1,2.5,0,0.3333333333,0.5454545455,2.976190476,1,2.857142857,0
vFam_3116,6,0.4057971014,3,2.75,0,0.2222222222,0.1818181818,2.166666667,0,2.857142857,0
vFam_892,43.33333333,18.47826087,220,17.5,0,131.8888889,25.36363636,40.76190476,8,2.714285714,0
vFam_268,10.33333333,2.623188406,12,8,1,3.333333333,2,4.476190476,6,2.714285714,0
vFam_5845,0,0.4637681159,0,0.25,0,1,0.7272727273,2,1,2.714285714,0
vFam_3158,2,0.7101449275,0,0,0,0.3333333333,0.3636363636,1.69047619,4,2.571428571,0
vFam_2211,6,1.942028986,0,1.5,0,1,0.5454545455,2.761904762,3,2.571428571,0
vFam_5321,0,0.9420289855,0,0,0,0,0.09090909091,0.1666666667,0,2.428571429,0
vFam_4379,2,0.3623188406,5,3,0,0,1,4.785714286,0,2.285714286,0
vFam_1307,0.3333333333,0.3623188406,0,0,0,0.5555555556,0.2727272727,0.8333333333,0,2.285714286,0
vFam_615,0,0.3623188406,0,2.25,0.5,0.8888888889,0,0.5952380952,0,2.285714286,0
vFam_2977,0,0.2753623188,0,0,0,0.1111111111,0,0.3095238095,0,2.285714286,0
vFam_550,0,0.04347826087,0,0.75,0,0,0,0.04761904762,0,2.285714286,0
vFam_5710,2,0.9565217391,0,0,0,0.6666666667,0.5454545455,2.619047619,3,2.142857143,0
vFam_3494,0,0.4927536232,0,0.75,0.5,0.3333333333,0.3636363636,1.19047619,0,1.857142857,0
vFam_4820,0,0,0,0,0,0,0,0,0,1.857142857,0
vFam_2927,4.666666667,1.449275362,1,2.5,0,1.777777778,0.6363636364,3.833333333,4,1.714285714,0
vFam_2313,5.333333333,0.5942028986,0,2.75,0,1.666666667,0.4545454545,3.571428571,2,1.714285714,0
vFam_1387,6.666666667,1.797101449,0,1.5,0,1.111111111,2.272727273,9.404761905,0,1.714285714,0
vFam_5137,0,0.5797101449,3,2,0,0.3333333333,0.2727272727,1.166666667,0,1.714285714,0
vFam_2645,0.6666666667,1.362318841,1,0.75,0.5,0.4444444444,0.3636363636,1.833333333,1,1.571428571,0
vFam_3244,4.666666667,1.043478261,0,42.25,0,0,3.909090909,0.09523809524,0,1.571428571,0
vFam_2784,2.666666667,0.8115942029,0,0,0,0.4444444444,0.3636363636,3.023809524,2,1.428571429,0
vFam_4380,3.666666667,0.4347826087,3,2,0,0.1111111111,0.8181818182,3.857142857,1,1.428571429,0
vFam_5173,3.666666667,0.6956521739,0,0.75,0,1.444444444,0,3.666666667,0,1.428571429,0
vFam_2555,0.6666666667,0.08695652174,0,0,0,0,0.3636363636,2.166666667,0,1.428571429,0
vFam_237,0,0.1594202899,0,0,0,0,0,0.1428571429,0,1.428571429,0
vFam_6021,0.6666666667,0.8695652174,2,0.25,0,1.111111111,0.3636363636,2.047619048,3,1.285714286,0
vFam_404,3.333333333,0.4782608696,3,5,0.5,0,0.3636363636,1.047619048,2,1.285714286,0
vFam_189,0.6666666667,0.9710144928,0,1,1,1.777777778,0.3636363636,0.9761904762,1,1.285714286,0
vFam_3552,1.666666667,0.1449275362,0,0,0,0,0.09090909091,0.9523809524,0,1.285714286,0
vFam_92,0,0.6666666667,2,0.75,2.5,2.111111111,0.09090909091,0.5238095238,0,1.285714286,0
vFam_5284,0.6666666667,0.1594202899,0,0,0,0.3333333333,0,0.3571428571,0,1.285714286,0
vFam_1937,3.666666667,2.115942029,0,17.75,1.5,50.66666667,0.3636363636,6.071428571,33,1.142857143,0
vFam_1143,1.666666667,2.507246377,9,0.5,1.5,36.77777778,0.8181818182,5.476190476,7,1.142857143,0
vFam_817,1.333333333,0.3188405797,0,2.25,0,0.6666666667,0.1818181818,1,3,1.142857143,0
vFam_1203,0,0.5507246377,0,0.25,0,0.6666666667,0.1818181818,1.095238095,2,1.142857143,0
vFam_3321,0,0.4202898551,0,0.75,0,0.3333333333,0.5454545455,1.80952381,0,1.142857143,0
vFam_2557,1.666666667,0.1449275362,0,0.75,0,0.2222222222,0.1818181818,1.166666667,0,1.142857143,0
vFam_4561,0,0.115942029,0,0.75,0,0.2222222222,0.2727272727,1.023809524,0,1.142857143,0
vFam_4353,1,0.1594202899,2,0,0,0,0.1818181818,0.3095238095,0,1.142857143,0
vFam_2803,0,0.3768115942,0,1,1,0.4444444444,0,1.333333333,4,1,0
vFam_3679,0,0.2173913043,0,0.25,0.5,0.1111111111,0.1818181818,0.02380952381,3,1,0
vFam_289,0,0.4202898551,0,2.25,0,1.111111111,2.454545455,1.095238095,2,1,0
vFam_3765,0,1.217391304,1,3.5,0.5,1.555555556,0.6363636364,1.095238095,1,1,0
vFam_1325,1,0.6086956522,0,0.5,0.5,0.7777777778,1.545454545,3.547619048,0,1,0
vFam_5977,0.6666666667,0.3333333333,1,0.5,0,0.2222222222,0.3636363636,0.9761904762,0,1,0
vFam_1793,1.666666667,0.231884058,0,2.25,0,0.1111111111,0,0.6428571429,0,1,0
vFam_103,0,0.7101449275,3,0.5,1.5,2.555555556,0.1818181818,0.4523809524,0,1,0
vFam_3303,0,0.1594202899,0,0,0,0.1111111111,0,0.04761904762,0,1,0
vFam_1893,0.3333333333,0.347826087,0,1,0,1.222222222,0.1818181818,0.3571428571,2,0.8571428571,0
vFam_2760,0,0.4347826087,0,0.25,0,0.7777777778,0.3636363636,2.142857143,0,0.8571428571,0
vFam_3112,0,0.231884058,0,2.75,0,0,0.3636363636,1.5,0,0.8571428571,0
vFam_558,0,0.1304347826,1,0,0,0.3333333333,0.09090909091,1.119047619,0,0.8571428571,0
vFam_964,0,0.2608695652,0,1,0,0,0,0.4523809524,0,0.8571428571,0
vFam_2229,0,0.3043478261,0,0,0,0.2222222222,0.09090909091,0.2857142857,0,0.8571428571,0
vFam_208,1.333333333,0.3623188406,0,0,0,0.2222222222,0,0.09523809524,0,0.8571428571,0
vFam_3398,0,0.02898550725,0,1,0,0.3333333333,0.09090909091,0.04761904762,0,0.8571428571,0
vFam_2212,1.333333333,0.4492753623,0,1,0,0.3333333333,0.1818181818,0.02380952381,0,0.8571428571,0
vFam_516,0,0.2463768116,0,0,0,0,0,0,0,0.8571428571,0
vFam_2544,0.6666666667,0.115942029,0,0,0,0,0,0,0,0.8571428571,0
vFam_4485,0,0,0,0,0,0,0,0,0,0.8571428571,0
vFam_5927,0.6666666667,1.463768116,6,0,0.5,1.555555556,0.2727272727,1.785714286,3,0.7142857143,0
vFam_4716,0,0.2753623188,0,2.75,0,0,0.1818181818,1.095238095,0,0.7142857143,0
vFam_1888,2.666666667,0.3623188406,0,0,0,0,0,0.5952380952,0,0.7142857143,0
vFam_1846,0,0.2753623188,0,0,0,0.6666666667,0,0.4285714286,0,0.7142857143,0
